,feature,mean_feature,sd_feature,median_feature,min_feature,,max_feature
,,,,,,,
2,danceability,-0.473,1.120,-0.802,-1.533,,0.926959698
3,energy,-0.491,0.775,-0.391,-1.425,,0.34070512
6,loudness,-0.465,0.815,-0.971,-1.016,,0.595578419
7,speechiness,-0.033,0.123,0.019,-0.188,,0.080117264
1,acousticness,0.529,0.941,0.305,-0.396,,1.681882154
4,instrumentalness,0.205,0.940,-0.326,-0.474,,1.428982882
5,liveness,-0.100,0.091,-0.113,-0.206,,0.027531386
9,valence,-0.314,0.835,-0.318,-1.255,,0.637990113
8,tempo,-0.247,0.151,-0.219,-0.439,,-0.077908765
