,feature,mean_feature,sd_feature,median_feature,min_feature,,max_feature
MedianPop,danceability,0.274,0.437,0.181,-0.132,,0.748
lowPop,danceability,-0.473,1.120,-0.802,-1.533,,0.927
,,,,,,,
,energy,-0.337,0.512,-0.520,-0.812,,0.862
,energy,-0.491,0.775,-0.391,-1.425,,0.341
,,,,,,,
,loudness,-0.043,0.395,-0.226,-0.339,,0.465
,loudness,-0.465,0.815,-0.971,-1.016,,0.596
,,,,,,,
,speechiness,-0.199,0.205,-0.219,-0.431,,-0.308
,speechiness,-0.033,0.123,0.019,-0.188,,0.080
,,,,,,,
,acousticness,0.357,0.595,0.649,-0.603,,0.072
,acousticness,0.529,0.941,0.305,-0.396,,1.682
,,,,,,,
,instrumentalness,-0.401,0.068,-0.416,-0.463,,0.592
,instrumentalness,0.205,0.940,-0.326,-0.474,,1.429
,,,,,,,
,liveness,-0.068,0.090,-0.091,-0.169,,0.085
,liveness,-0.100,0.091,-0.113,-0.206,,0.028
,,,,,,,
,valence,0.308,0.538,0.376,-0.372,,0.071
,valence,-0.314,0.835,-0.318,-1.255,,0.638
,,,,,,,
,tempo,0.017,0.042,0.030,-0.059,,0.849
,tempo,-0.247,0.151,-0.219,-0.439,,-0.078
